"id","profileName","text","date","title","rating","images","helpful","variant:colour","variant:size","variant:"
"R7U5JFUKAQH38","SHAJJO SHAHJAHAN","#IWONONAMAZON IPHONE 15 PRO SELECT ME AS A WENNER OF IPHONE 15 PRO ON 28 JANUARY 2024I HOPE I WILL WIN I PHONE 15 PRO","Reviewed in India on 19 January 2024","#iWONONAMAZON","5.0 out of 5 stars","","0","White Titanium","128 GB",
"R16AYQ9RLN5UDI","Satyanarayan Sahu","Apple I phone cost more then 1 lakh but without charger …..what is this????? Rs2000 mobile also giving charger and headphones etc","Reviewed in India on 4 December 2023","No charger","2.0 out of 5 stars","","3","White Titanium","256 GB",
"R1HX1PPNZJY7XC","Azim Siddiqui","I have been using this phone for more than 2 months now..no issue at all. Classy look, stands out.Loved it.","Reviewed in India on 6 December 2023","Worth the hype","5.0 out of 5 stars","","4","White Titanium","512 GB",
"R1QM3IWM47ELPR","MJ","Camera is better, suggest not to use other charger adapter. Always use apple charger cable rather using other type C cable.","Reviewed in India on 8 October 2023","Heating issues even with original apple charger","2.0 out of 5 stars","","33","Blue Titanium","128 GB",
"R143IGF9C3RGHG","Sachin Jain","Writing this review for iPhone 15 pro 256 GB after one month usage. It's a nice phone with buttery smooth performance and brilliant camera setup. Battery also lasts for a whole day. Initially the phone had heating issue but after a few days (when OS and updates got settled) the issue was resolved automatically.Overall a nice phone.","Reviewed in India on 4 November 2023","Nice phone","5.0 out of 5 stars","https://m.media-amazon.com/images/I/61XlwiI9ZPL.jpg","5","Natural Titanium","256 GB",
"R2E0EUQ28D206D","Anzer Ahmed","The performance is great and it provides high graphics and it's smooth and easy to use because of 120Hz refresh rate and quality it great as it's frame is made of titanium alloy which is grade 5 and at last the connectivity is great as the iPhone q5 pro has all international 5g bands. It's a great smartphone and I have never got use it because it cost ₹1,34,000 and I don't have that much money 😔","Reviewed in India on 24 October 2023","Features of iPhone 15 Pro","5.0 out of 5 stars","","8","Black Titanium","128 GB",
"R2BBD6P5NA3RD8","Anuruddha Paul","The iPhone 15 Pro is a technological marvel, pushing the boundaries of what a smartphone can do. Its impressive A15X chip delivers unparalleled performance, making multitasking a breeze. The camera system, with enhanced low-light capabilities, captures stunning photos and videos. The stunning ProMotion display with a 120Hz refresh rate offers a silky-smooth visual experience. The only downside is its hefty price tag, but for those seeking the pinnacle of smartphone innovation, the iPhone 15 Pro doesn't disappoint. It's a glimpse into the future of mobile technology.","Reviewed in India on 24 October 2023","A Glimpse into the Future.","5.0 out of 5 stars","","4","Natural Titanium","256 GB",
"R95JNH8J5G3UB","Chan Ezra","This is the best iPhone launched by apple. The titanium feels really good and super classy! The gaming experience is top notch, its a console in a phone! None can beat that. A17 pro chip speaks of itself! super pro. I didn’t experience any heating issues, great battery experience, even though i didn’t get it from amazon due to product constraints, was able to get from the apple store itself on launch day.Go for it! Worth it. I bought the blue titanium and its really nice!","Reviewed in India on 20 October 2023","The Beast of all Phones","5.0 out of 5 stars","https://m.media-amazon.com/images/I/61gGaYVhD8L.jpg","0","Natural Titanium","128 GB",
"R298A6YN01JF6O","Main jaanta hun nakali iPhone hai jo bech Raha hai vah Mera dost hai sala Chinese Mal aata hai 5000 mai mat lo yaar phone isase achcha 5000 ka Samsung ka phone le lo vah jyada achcha chalega ","Samsung le Lo iPhone nahin agar mujhe jyada Paisa a Gaya barbad karna chahte ho to liya ja sakta hai lekin main pregnant nahin karunga kyunki yah nakali hai ya iPhone","Reviewed in India on 15 January 2024","Nakali iPhone ki video kyon banaun main","1.0 out of 5 stars","","2","Natural Titanium","256 GB",
"R1HAJ6YZZ4MFZ6","Very nice titanium look go for it","Very good quality at this price I would suggest please go for it absolutely crazyyyyyy and amazing go for it","Reviewed in India on 30 November 2023","Very gud titanium","5.0 out of 5 stars","","39","Natural Titanium","128 GB",
"R29Q9HP96WLPQW","vikas0145","I didn’t face any heating issues , phone is really smooth , powerful processor, really best phone , go for it","Reviewed in India on 24 October 2023","Great phone","5.0 out of 5 stars","","2","Natural Titanium","128 GB",
"R3RIN4L3H31WC7","Arjun","So smooth and lighting fast OS . Camaras are just amazing, no need of carrying a DSLR cameras to capture ur memories . Loving iphone 15 pro","Reviewed in India on 20 October 2023","Best phone as on date in the world","5.0 out of 5 stars","","4",,,
"R2ADTDD81EUXHE","Pay me 180000 ","Good phone loved it I'll suggest to buy pay me 180000 so I can buy this phone waiting for your reply","Reviewed in India on 20 October 2023","Good","5.0 out of 5 stars","","8","Black Titanium","128 GB",
"RHBY5HNJ9VSBY","Very smooth compared to poco f1  camara also good","Very smooth compared to poco f1 the battery is only 1 in each phone , i phone has 3 camara, poco f1 has 2 camara, i phone has app store poco f1 has playstore","Reviewed in India on 3 October 2023","iPhone vs poco","5.0 out of 5 stars","","15","Black Titanium","256 GB",
"R227FPV6LEZ0D6","Pranav C Tembekar","I have iPhone 14 & 14ProMaxI bought Iphone15 Pro at the time of Launching of 15 but should say 14 Series is not only the best but the showstoppers for today's generation.Don't Buy iPhone 15 it's very pathetic and don't works properly in the sense of Camera in working performance.Don't waste your Hard earned money....","Reviewed in India on 23 October 2023","Most Worst Phone By Apple(I Phone15)series","1.0 out of 5 stars","","83","Blue Titanium","256 GB",
"R2FHEYQMF4LR3V","Aryan Bidkar","Hard and lightweight. Charging adapter have to buy again. Camera is good. Quality is also nice. A17 pro chip so more speed","Reviewed in India on 7 October 2023","Gaming is smooth","5.0 out of 5 stars","https://m.media-amazon.com/images/I/51b42EOGIhL.jpg","6","Blue Titanium","256 GB",
"R39OD3J8WXAGGA","Joseph Prabakaran","Very high price.. no need to spend this much high hard earned money to just a mobile phone. You can build an awesome pc with this money...","Reviewed in India on 10 December 2023","High price","1.0 out of 5 stars","","0","Black Titanium","1 TB",
"R1G55QPJ59UJDB","Amazon Customer","Hanging issue …never I seen in iPhone …since using iPhone from 6 ,x,12pro,14promax….disappointed from iPhone …please give the product to money value","Reviewed in India on 29 November 2023","Worst product","1.0 out of 5 stars","","7","Natural Titanium","256 GB",
"RCBYIM8TDEMPX","Placeholder","IT REALLY GETS HOT BY NORMAL TASK AND SPETIALLY ON CHARGING IT IS THE HOTTEST DONT BUY THIS GO FOR IPHONE 14 PRO INSTEAD","Reviewed in India on 3 October 2023","GETS REALLY HOT DONT BUY","1.0 out of 5 stars","","71",,,
"RFQVLH5ZVE5OW","Hashid","even s23 ultra is betterIt has snapdragon processorIt also has titaniumIt has 100x zoomIt has ultra fast chargingIt will not that much heaten as iPhone doesSo, don't buy iphone","Reviewed in India on 18 October 2023","Worst phone in world except in style","1.0 out of 5 stars","","37",,,
"R1S7A2ETRCQGIQ","Yogesh dangi","iPhone 15 pro not durable than 14 pro. iPhone 14 pro is still better or wait for 16 pro . Back glass is not durable.","Reviewed in India on 26 October 2023","Not durable","1.0 out of 5 stars","","11","Black Titanium","128 GB",
"RXBIJWXS7E44D","Raj","worst iphone ever till date. getting overheat, dont buy. Just waste of money. It btter to go for samsung at this range","Reviewed in India on 25 October 2023","worst iphone ever","1.0 out of 5 stars","","8","Natural Titanium","1 TB",
"R20V8R7J6J1RZF","hossain","I thought iPhone 15 pro will be better then Samsung galaxy s23 ultra but I was my wrong decisionThis phone always gets overheatSlow charging","Reviewed in India on 23 October 2023","Getting hot","1.0 out of 5 stars","","5","Natural Titanium","128 GB",
"R20QSE0B0Z0OF3","LG product is deal fantasy ","Batteries are draining very quickly,And rapidly as well as ,there is previous model also not good from iOS 17 upgrade .and battery draining rapidly with massive.","Reviewed in India on 19 October 2023","Heating issues","1.0 out of 5 stars","","10","Blue Titanium","256 GB",
"R2M0N2PFYFRP6A","Monish S","WASTE OF MONEY Don’t buy unless you don’t find the way to spend the money you have think about it","Reviewed in India on 23 October 2023","WASTE","1.0 out of 5 stars","","5","Natural Titanium","1 TB",
"R18PHFYK2NGTKG","Niharika ","Except the titanium casing nothing have changed…. Gets really hot very fast when you play something with charging on .","Reviewed in India on 8 October 2023","Not worth the price tag","1.0 out of 5 stars","","16","Blue Titanium","128 GB",
"RIF06O9X67775","Aishwarya Dewangan","L ow b u il d q u a li ty  b ad p erfo rm a n c e","Reviewed in India on 12 October 2023","Build quality","1.0 out of 5 stars","","10","White Titanium","256 GB",
"R3G5AAR00RQXTL","Kalpesh Brahmkhatri","Camera features is not Good and not supporting some Applications which is useful even some bank application not run property","Reviewed in India on 7 October 2023","Not Suitable","1.0 out of 5 stars","","12","White Titanium","256 GB",
"R3SX3QPABTF52I","Certified User","Nice phone . Not worth 1,70,000. The camera is a bit better nothing else . I actually prefer iPhone 14 256 gb","Reviewed in India on 3 October 2023","Ok ok","5.0 out of 5 stars","","6","Natural Titanium","256 GB",
